Ticker,Cluster,PCA_1,PCA_2,mean_return,volatility,beta,mean_volume,mean_pe,mean_market_cap
ADANIENT.NS,2,0.7516379330415816,-0.4834401482457749,0.0023714822792301523,0.06471143001968233,0.7580356376537071,-0.08201204485731879,-0.11158895140169246,-0.41506226590101963
ADANIPORTS.NS,4,-0.3221969153874458,0.07695385231545554,-0.005723027503431044,-0.00796316741196046,-0.2239895386599599,-0.2291112645276174,-0.381631834358638,-0.24331232810119718
APOLLOHOSP.NS,1,-1.0670489494180522,-1.21556235290489,-0.004348765490760708,-0.025485891085283117,-0.7322306386819456,-0.4331568075810332,1.2939725355604277,-0.8346330306837678
ASIANPAINT.NS,1,-1.1604611370569722,-0.8812367906507466,-0.0042755488253615175,-0.046787449801614596,-0.5513312640978489,-0.4046693394075799,1.3308044068784706,-0.4890261457379058
AXISBANK.NS,4,0.08261311854657913,0.5327603883663854,-0.003229449857187832,-0.006958852558720926,-0.008633140345559275,-0.03813571181086808,-0.841193708953544,0.013707922902810706
BAJAJ-AUTO.NS,2,-0.5478793948904335,0.044000997993725297,-0.004738398353616639,-0.03753724335251127,1.7142180461696461,-0.42927440773996345,-0.1578173895315118,-0.3972496389297113
BAJAJFINSV.NS,4,-0.5632137453024729,-0.15505242131516958,-0.005218038927073657,-0.01839444483693216,-0.2282966666262479,-0.3604553674623622,-0.03851825282204279,-0.28287221375488947
BAJFINANCE.NS,3,6.908317534893424,-3.340367643556071,0.08525775315620901,0.3813889779176969,-0.6977736149516415,0.04804696501764289,-0.09264460550406486,0.4101941676598499
BHARTIARTL.NS,0,-0.053610974027691334,1.4778178482107944,-0.004592470429120768,-0.02086917225379724,-1.0940293878501386,-0.07938354098003889,-0.1351162488946128,2.028135920245161
BPCL.NS,2,0.5879525591894771,0.5502000320012423,-0.0019314676708099747,0.005268879605482475,2.868528341134834,0.04574748441024195,-1.3276427815234622,-0.6834208012075185
BRITANNIA.NS,1,-1.075919632614222,-0.8940380946780028,-0.005114153177494683,-0.04523976272138762,1.106913002923036,-0.44014178233144885,1.3492005286842805,-0.7276397993296653
CIPLA.NS,4,1.84423463034183,-1.7388384233240815,0.026775699902545098,0.12062780445837404,-1.175864819209611,-0.3539080070458067,-0.4851162343064965,-0.8167428588043273
COALINDIA.NS,4,-0.5042568821915935,0.5159659498751742,-0.007046003804659436,-0.038779952496310686,-1.3567641937937074,-0.08126561200621467,-1.2113376478406646,-0.3878481850753351
DIVISLAB.NS,1,-0.9987289647762562,-1.2600675995658732,-0.0027653098700639108,-0.023338238547240004,-0.85283022173801,-0.4012364565165023,1.5276386045450225,-0.6769185676340369
DRREDDY.NS,4,-0.3207900076442605,-0.1952667890052709,-0.0028952110004314656,-0.01502197931562504,-1.8884412983240197e-05,-0.3141754615251746,-0.7594417016204376,-0.831159042696172
EICHERMOT.NS,4,-0.05483870273228745,-0.9929760850073933,0.004084175290889197,0.02351303905917201,-0.9518941649626343,-0.42452728580514865,0.24220128452633125,-0.586451021606173
GRASIM.NS,4,-0.6067442598948388,-0.7681847003528138,-0.001326958512900215,-0.016069073459093964,-0.4738029607046648,-0.3929092494498482,0.5297233168981987,-0.5971997051565816
HCLTECH.NS,4,-0.3450966614040677,0.2735731935495768,-0.004162549808952597,-0.021997609684217528,-0.4910314725698168,-0.1843417105190763,-0.2671008071310833,0.09958616906936545
HDFCBANK.NS,0,0.3977225902092997,2.492282622648169,-0.004188329103303244,-0.03706122179737745,0.6374360545976429,0.1968428528983149,-0.6214175184467815,2.6290112888976918
HDFCLIFE.NS,1,-1.2055825641242974,-1.2829799361817322,-0.006501851054732964,-0.039498169467384964,1.0121561876647,-0.2715149888189871,2.4639315841157208,-0.6846092200241175
HEROMOTOCO.NS,2,-0.5254801866916399,-0.009671698582769256,-0.005674861727211945,-0.033646739903900415,1.6409968707427496,-0.4218649899748186,-0.6107545304707942,-0.8069107004227871
HINDALCO.NS,2,0.15676294886107267,0.5460247036554057,-0.005651307254549558,-0.008110107910971706,2.4938082080677764,-0.08514352371447231,-1.0475383112436472,-0.5347360612154859
HINDUNILVR.NS,1,-0.884861218628767,-0.034162342004758386,-0.006155582298077774,-0.04162796570314792,-0.2756750742554161,-0.344304823147123,0.874497098501267,0.35688218840614616
ICICIBANK.NS,0,0.5118231207227711,1.831238704657979,-0.004667244274775793,-0.01966990802793752,-0.48241721663724074,0.5907774364804769,-0.7322999066529642,1.429086808429721
INDUSINDBK.NS,4,-0.11210358511207698,0.0887689252656751,-0.0034613938326506027,-0.003921420121789713,-0.38335327341261644,-0.3112181848355761,-1.6376707354207625,-0.9134679870369159
INFY.NS,4,0.1924362620839512,1.1227143961775203,-0.004292400450773811,-0.02459442163705536,-0.2239895386599599,0.3900547519196483,-0.5037726547920705,0.6338480890316622
ITC.NS,4,-0.08141484293933288,0.8155860352060472,-0.00567854327837974,-0.03768226353988882,-1.826241142119101,0.589878725061368,-0.6677840902380487,-0.04403137048070829
JSWSTEEL.NS,2,-0.014121839220354987,-0.12422212806451143,-0.0033045371864864697,0.0006388679285985889,1.115527258855612,-0.002274051512514962,0.3139580478809177,-0.32263344647799186
KOTAKBANK.NS,4,0.7119442271753987,0.17640974491879283,0.004417422677554018,0.022907785492837736,-0.6030167996933051,0.23311418325653693,-0.579687878142621,-0.03843946599384747
LT.NS,4,-0.3586022431213735,0.35841558846747523,-0.0038467137903575523,-0.02556369656779714,-0.004326012379271257,-0.2596104778545951,-0.13048700782766456,0.3135784352705852
LTIM.NS,4,-0.712058173027555,-0.516397106748395,-0.0028046924826956995,-0.031064917094372223,-0.004326012379271257,-0.4377856256378442,0.19060640263282908,-0.634016006556751
M&M.NS,4,-0.04045967267593911,0.12610479754669535,-0.002420926171914846,0.00023512589229649611,0.439308168148394,-0.24651282476309228,-0.3065929760211954,-0.022285682155257603
MARUTI.NS,4,-0.6179456198452007,0.13935801498442693,-0.004608640868331726,-0.03177114605651048,-0.46949583273837675,-0.39105443891342706,-0.13049200415158918,0.10017457498465056
NESTLEIND.NS,1,-1.6881023466038785,-1.1144004777304715,-0.007401003804151435,-0.0715725152527893,-0.3058249700194322,-0.4127339566938436,2.3516754517480813,-0.4261183297520331
